Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area^2,City,Price(�),Location,Type of Property
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,3,4,Vacant,2343,Dhaka,"146,990","Sector 6, Uttara",Flat
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3,3,2,Vacant,1350,Dhaka,"94,875","Free School Street, Kathalbagan",Flat
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3,3,5,Vacant,1200,Dhaka,"50,110","Pallabi, Mirpur",Flat
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3,3,1,Vacant,2045,Dhaka,"157,847","Sector 7, Uttara",Apartment
Offering 1500 Sq Ft Flat For Sale In Niketan,3,3,1,Vacant,1500,Dhaka,"167,034","Block C, Niketan",Flat
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3,3,4,Vacant,1410,Dhaka,"92,203","Vashani Goli, Shantinagar",Apartment
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2,2,5,Vacant,650,Dhaka,"26,725","Gandaria, Sutrapur",Flat
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,Vacant,1185,Dhaka,"73,495","Lake Circus Road, Kalabagan",Apartment
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,Vacant,1610,Dhaka,"87,526","Block H, Bashundhara R-A",Apartment
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,Vacant,2180,Dhaka,"116,924","Block J, Bashundhara R-A",Apartment
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,Vacant,3650,Dhaka,"521,147","Gulshan 2, Gulshan",Flat
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,Vacant,5000,Dhaka,"734,950","Free School Street, Kathalbagan",Commercial Property
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,Vacant,2700,Dhaka,"367,475","Gulshan 1, Gulshan",Apartment
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,Vacant,1175,Dhaka,"55,455","Baitul Aman Housing Society, Adabor",Not Specified
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,Vacant,650,Dhaka,"20,712","Section 6, Mirpur",Flat
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,Vacant,1331,Dhaka,"106,902","Sector 4, Uttara",Apartment
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,Vacant,900,Dhaka,"30,066","Nobodoy Housing Society, Mohammadpur",Apartment
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3,2,2,Vacant,950,Dhaka,"40,088","Gulbag, Malibagh",Flat
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2,2,6,Vacant,1230,Dhaka,"33,407","West Shewrapara, Mirpur",Apartment
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3,2,7,Vacant,1150,Dhaka,"43,429","Middle Monipur, Mirpur",Apartment
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3,2,7,Vacant,1150,Dhaka,"43,429","Middle Monipur, Mirpur",Apartment
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3,3,7,Vacant,1150,Dhaka,"44,765","Manikdi, Cantonment",Apartment
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3,3,2,Vacant,1250,Dhaka,"50,778","East Kazipara, Mirpur",Flat
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2,2,2,Vacant,860,Dhaka,"32,739","Rupnagar R/A, Mirpur",Not Specified
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3,2,1,Vacant,1050,Dhaka,"41,424","West Kazipara, Mirpur",Apartment
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4,4,10,Vacant,3355,Dhaka,"260,573","Sector 4, Uttara",Apartment
Buy This 1375 Sq Ft Apartment In Mirpur-6,3,3,5,Vacant,1375,Dhaka,"80,845","Section 6, Mirpur",Apartment
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,,,4,Vacant,21500,Dhaka,"1,469,900","Hemayetpur, Savar",Commercial Property
Worthy 900 SQ FT residence is for sale at North Pirerbag,3,2,2,Vacant,900,Dhaka,"33,407","Pirerbag, Mirpur",Not Specified
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3,3,5,Vacant,1008,Dhaka,"32,327","Section 10, Mirpur",Flat
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3,2,3,Vacant,1055,Dhaka,"35,411","Moushair, Dakshin Khan",Flat
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3,3,5,Vacant,1800,Dhaka,"106,902","Block F, Bashundhara R-A",Apartment
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3,3,2,Vacant,1250,Dhaka,"35,077","Ahmed Nagar, Mirpur",Apartment
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8,4,,Vacant,2146,Dhaka,"70,154","Ashulia, Savar",Not Specified
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3,2,9,Vacant,900,Dhaka,"19,376","Hemayetpur, Savar",Flat
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2,2,6,Vacant,1050,Dhaka,"22,449","Radio Colony, Savar",Flat
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3,3,2,Vacant,1250,Dhaka,"76,836","Block C, Bashundhara R-A",Flat
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3,3,9,Vacant,1675,Dhaka,"64,893","Section 1, Mirpur",Flat
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3,3,1,Vacant,1300,Dhaka,"50,110","Ahmed Nagar, Mirpur",Apartment
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3,4,1,Vacant,2787,Dhaka,"193,760","Road No 12A, Dhanmondi",Apartment
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4,4,9,Vacant,5040,Dhaka,"360,794","Block C, Bashundhara R-A",Apartment
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3,2,5,Vacant,986,Dhaka,"41,424","Sector 9, Uttara",Apartment
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2,2,5,Vacant,920,Dhaka,"22,049","South Chalabon, Dakshin Khan",Apartment
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3,3,1,Vacant,1275,Dhaka,"56,792","West Agargaon, Agargaon",Flat
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3,3,2,Vacant,2290,Dhaka,"150,331","Block B, Bashundhara R-A",Flat
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3,3,2,Vacant,1400,Dhaka,"52,115","Section 12, Mirpur",Flat
A Reasonable Apartment Is Available For Sale At Mirpur-10,3,2,4,Vacant,1075,Dhaka,"36,748","Section 10, Mirpur",Apartment
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3,3,1,Vacant,1300,Dhaka,"64,141","Sector 5, Uttara",Flat
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3,3,2,Vacant,1135,Dhaka,"50,110","Ashkona, Dakshin Khan",Apartment
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2,2,2,Vacant,855,Dhaka,"31,419","Section 10, Mirpur",Apartment
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3,3,2,Vacant,1425,Dhaka,"60,132","East Rampura, Rampura",Flat
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3,4,4,Vacant,2380,Dhaka,"143,649","Block D, Bashundhara R-A",Apartment
"Set Up Your New Office In The Busiest Location Of West Rampura, An Open Space Is Prepared To Be Sale Nearby Rajdhani Ideal School &amp; College",,,5,Vacant,2600,Dhaka,"208,459","West Rampura, Rampura",Office Space
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4,4,4,Vacant,2000,Dhaka,"98,884","Baitul Aman Housing Society, Adabor",Flat
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3,3,2,Vacant,1600,Dhaka,"93,539","Sector 12, Uttara",Apartment
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4,4,3,Vacant,2200,Dhaka,"167,034","Mirpur DOHS, Mirpur",Flat
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4,4,8,Vacant,3474,Dhaka,"300,661","Sector 3, Uttara",Apartment
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3,4,9,Vacant,1550,Dhaka,"100,220","Block C, Aftab Nagar",Flat
850 Sq Ft Flat For Sale In South Badda,2,2,1,Vacant,850,Dhaka,"33,407","South Badda, Badda",Flat
A Office Space Is Available For Sale Which Is Located On Uttara Nearby Zam Zam Tower.,,,6,Vacant,2075,Dhaka,"194,094","Sector 13, Uttara",Office Space
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3,3,3,Vacant,1380,Dhaka,"63,473","Block E, Aftab Nagar",Flat
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3,3,8,Vacant,1350,Dhaka,"75,499","Block C, Banasree",Apartment
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3,3,2,Vacant,1470,Dhaka,"46,770","Mansurabad Housing Society, Adabor",Flat
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3,2,1,Vacant,1090,Dhaka,"36,748","West Shewrapara, Mirpur",Flat
"1220 Sq Ft Flat For Sale In Banasree, Block G",3,2,7,Vacant,1220,Dhaka,"53,451","Block G, Banasree",Flat
